organism_tidy_name,join,ref,seq,organism_name,ncbi_taxonomy,gtdb_taxonomy,gtdb_representative_of_species,gtdb_type_material,genome_representation,check_m_completeness,check_m_contamination,gc_percentage,genome_size,contig_count,country,date,isolation_source,spanned_gaps,unspanned_gaps,assembly_level,protein_count,gen_bank_assembly_id_accession_version,accession_number,regional_loaction,geographic_feature,environment_detail,tempurature,lat_long,temp_estimate,temp_cat,gyrA,nusA,infC,infA,otsA,dnaK,recA,dnaJ,aceF,deaD,infB,tig,rnr,dnaA,hupB,rbfA,yfiA,pnp,csp,aceE,desA,PsaB,cya_PsbA,PsaA,cya_PsaC,PsbB,PsbC,PsbO,bac_PsbA,D2_PsbD,PsaD,PsaE,bac_PsaC
Acaryochloris_marina_MBIC11017,_000018105.1_,GCF,18105,Acaryochloris marina MBIC11017,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Acaryochloridaceae;g__Acaryochloris;s__Acaryochloris marina,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Acaryochloris;s__Acaryochloris marina,TRUE,not type material,NA,99.53,5.07,46.9558929,8361599,NA,NA,NA,NA,NA,NA,Complete Genome,7769,GCA_000018105.1,ASM1810v1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,7,7,8,1,12,6,1,7,14,7,1,0,4,1,1,5,2,6,2,1,8,13,1,6,6,1,1,6
Acaryochloris_marina_S15,_018336915.1_,GCF,18336915,Acaryochloris marina S15,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Acaryochloridaceae;g__Acaryochloris;s__Acaryochloris marina,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Acaryochloris;s__Acaryochloris marina_A,TRUE,not type material,NA,99.53,2.71,46.7822531,7112772,NA,NA,NA,NA,NA,NA,Complete Genome,6505,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,10,4,8,1,10,5,1,4,2,7,1,0,4,1,1,5,2,5,2,1,7,13,1,5,5,1,1,7
Allocoleopsis_franciscana_PCC_7113,_000317515.1_,GCF,317515,Allocoleopsis franciscana PCC 7113,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Allocoleopsis;s__Allocoleopsis franciscana,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__Allocoleopsis;s__Allocoleopsis franciscana,TRUE,type strain of species,full,99.56,0.23,46.2133481,7966510,9,USA: San Francisco; CA,12/6/12,orchid house soil,0,0,Complete Genome,6718,GCA_000317515.1,ASM31751v1,"orchid house, San Francisco, USA",soil,soil,NA,37.774 N 122.419 E,23-26,temperate,2,1,3,1,0,8,2,10,1,16,6,1,2,2,1,1,0,4,1,1,5,2,8,2,1,2,2,1,8,8,1,1,5
Anabaena_cylindrica_PCC_7122,_000317695.1_,GCF,317695,Anabaena cylindrica PCC 7122,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__Anabaena cylindrica,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Anabaena;s__Anabaena cylindrica,TRUE,not type material,full,99.44,0,38.7905911,7063285,7,United Kingdom,12/7/12,water; most likely pond,0,0,Complete Genome,6197,GCA_000317695.1,ASM31769v1,"Cambridge, UK",pond,freshwater pond,NA,52.202 N 0.131 E,0-10,cold-freezing,2,1,1,1,0,8,1,8,1,16,5,1,2,1,1,1,0,4,0,2,5,2,7,2,1,6,6,1,7,7,1,1,8
Anabaena_sp_4-3,_001597745.1_,GCF,1597745,Anabaena sp. 4-3,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Trichormus;s__Trichormus sp001597745,TRUE,not type material,full,99.56,0.22,41.4051533,5603767,153,USA: Port Aransas,3/25/16,Estuarial environment,77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,9,1,9,1,14,5,1,2,1,1,1,0,4,2,2,5,3,7,3,1,6,6,1,7,8,1,1,11
Anabaena_sp_90,_000312705.1_,GCF,312705,Anabaena sp. 90,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum sp000312705,FALSE,not type material,NA,99.67,0,38.0965476,5305675,NA,NA,NA,NA,NA,NA,Complete Genome,4875,GCA_000312705.1,ASM31270v1,finland,Lake Vesijarvi,lake,NA,"61.525676, 24.134639",0.2-18,cold-freezing,2,1,1,1,0,8,1,6,1,11,5,1,2,2,2,1,0,4,1,1,5,2,5,2,1,2,2,1,5,5,1,1,9
Anabaena_sp_AL93,_001672085.1_,GCA,1672085,Anabaena sp. AL93,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum heterosporum,FALSE,not type material,full,99.67,0.52,38.3562508,5662506,217,USA: American Lake; WA,6/20/16,non-pure culture,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,8,1,5,0,9,4,1,1,1,1,2,0,5,2,1,5,2,7,2,1,2,2,1,7,7,1,1,11
Anabaena_sp_CRKS33,_001672075.1_,GCA,1672075,Anabaena sp. CRKS33,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum sp001672075,TRUE,not type material,full,99.67,1.78,37.5988028,4950014,1109,USA: Cheney Reservoir; WA,6/20/16,lake water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,8,1,7,1,16,5,1,2,0,1,1,0,6,1,1,4,2,5,2,1,2,2,1,5,7,1,1,11
Anabaena_sp_PCC_7108,_000332135.1_,GCF,332135,Anabaena sp. PCC 7108,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Anabaena;s__Anabaena sp000332135,TRUE,not type material,full,99.63,0.07,38.7807415,5886741,13,USA,1/22/13,intertidal zone,10,0,NA,NA,NA,NA,NA,NA,marine,NA,NA,NA,NA,2,1,1,1,0,8,1,8,1,17,5,1,2,0,1,1,0,4,1,1,6,2,7,2,1,2,2,1,7,7,1,1,8
Anabaena_sp_WA102,_001277295.1_,GCF,1277295,Anabaena sp. WA102,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Anabaena;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum heterosporum,TRUE,not type material,full,99.78,0.22,38.3770659,5782034,2,USA: Washington State,9/1/15,Anderson Lake,0,0,Complete Genome,5287,GCA_001277295.1,ASM127729v1,"Washington State, USA",Anderson Lake,NA,NA,NA,0-20,cold-freezing,2,1,1,1,0,9,1,5,1,12,5,1,2,1,2,2,0,5,2,1,8,2,5,2,1,2,2,1,5,5,1,1,11
