ref,seq,class,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
GCF,7925,WP_225866420.1|RR|OmpR,20,22,4,5.5,0.36651584,0.02714932,211.058393,0.99555846,0.04117647
GCF,7925,WP_164923246.1|RR|NarL,8,7,16,0.4375,0.38341969,0.05699482,184.116798,1.00063477,0.03678756
GCF,7925,WP_052039745.1|RR|OmpR,20,24,10,2.4,0.36641221,0.05343511,253.130512,1.00051586,-0.0320611
GCF,7925,WP_011125693.1|HK|Classic,31,26,17,1.52941176,0.39321357,0.0738523,488.618298,0.99312662,0.26686627
GCF,7925,WP_011125273.1|HK|Classic,21,27,21,1.28571429,0.32283465,0.05249344,373.623226,1.00436351,-0.3538058
GCF,7925,WP_011125573.1|HK|Classic,38,44,36,1.22222222,0.33623188,0.06231884,681.788821,1.00115833,-0.1636232
GCF,7925,WP_011124456.1|HK|Classic,20,21,20,1.05,0.32526882,0.07258065,364.600143,1.00440811,-0.2102151
GCF,7925,WP_011124349.1|RR|NarL,13,17,13,1.30769231,0.30991736,0.05371901,234.179893,1.00506392,-0.3933884
GCF,7925,WP_011124311.1|RR|OmpR,16,23,9,2.55555556,0.34008097,0.05263158,237.811548,0.99920818,-0.162753
GCF,7925,WP_011124305.1|RR|OmpR,17,18,16,1.125,0.30980392,0.0627451,245.633667,0.99851084,-0.2760784
GCF,9705,WP_010993911.1|HK|Classic,26,29,15,1.93333333,0.34763948,0.08583691,453.002464,0.99125266,0.00793991
GCF,9705,WP_010993912.1|RR|OmpR,14,15,11,1.36363636,0.3030303,0.07792208,221.885845,0.99948579,-0.3532468
GCF,9705,WP_010993933.1|HK|Classic,28,26,11,2.36363636,0.37124464,0.06866953,453.554143,0.99245983,0.06223176
GCF,9705,WP_010993934.1|RR|OmpR,18,16,13,1.23076923,0.33877551,0.07755102,235.458095,0.99770379,-0.1130612
GCF,9705,WP_010993980.1|RR|NarL,15,12,20,0.6,0.32824427,0.04580153,254.270917,1.00502339,-0.2740458
GCF,9705,WP_010994160.1|RR|NarL,9,10,15,0.66666667,0.34529148,0.0896861,213.778738,0.99896607,-0.041704
